date,state,deaths,cases
2020-03-13,Alabama,0,6
2020-03-14,Alabama,0,6
2020-03-15,Alabama,0,11
2020-03-16,Alabama,0,6
2020-03-17,Alabama,0,10
2020-03-18,Alabama,0,12
2020-03-19,Alabama,0,27
2020-03-20,Alabama,0,28
2020-03-21,Alabama,0,25
2020-03-22,Alabama,0,26
2020-03-23,Alabama,0,39
2020-03-24,Alabama,0,46
2020-03-25,Alabama,1,144
2020-03-26,Alabama,2,152
2020-03-27,Alabama,1,101
2020-03-28,Alabama,0,81
2020-03-29,Alabama,1,110
2020-03-30,Alabama,6,117
2020-03-31,Alabama,3,52
2020-04-01,Alabama,14,109
2020-04-02,Alabama,4,162
2020-04-03,Alabama,6,265
2020-04-04,Alabama,6,97
2020-04-05,Alabama,1,208
2020-04-06,Alabama,8,165
2020-04-07,Alabama,11,192
2020-04-08,Alabama,3,301
2020-04-09,Alabama,11,340
2020-04-10,Alabama,2,170
2020-04-11,Alabama,13,254
2020-04-12,Alabama,0,321
2020-04-13,Alabama,11,222
2020-04-14,Alabama,10,148
2020-04-15,Alabama,9,288
2020-04-16,Alabama,14,163
2020-04-17,Alabama,14,168
2020-04-18,Alabama,-4,151
2020-04-19,Alabama,13,180
2020-04-20,Alabama,4,175
2020-04-21,Alabama,22,249
2020-04-22,Alabama,15,283
2020-04-23,Alabama,-4,222
2020-04-24,Alabama,12,194
2020-04-25,Alabama,4,187
2020-04-26,Alabama,6,208
2020-04-27,Alabama,9,118
2020-04-28,Alabama,14,211
2020-04-29,Alabama,20,175
2020-04-30,Alabama,10,143
2020-05-01,Alabama,17,226
2020-05-02,Alabama,-1,317
2020-05-03,Alabama,2,277
2020-05-04,Alabama,8,224
2020-05-05,Alabama,17,325
2020-05-06,Alabama,28,254
2020-05-07,Alabama,26,355
2020-05-08,Alabama,14,339
2020-05-09,Alabama,7,283
2020-05-10,Alabama,3,221
2020-05-11,Alabama,10,275
2020-05-12,Alabama,32,300
2020-05-13,Alabama,15,236
2020-05-14,Alabama,23,401
2020-05-15,Alabama,10,272
2020-05-16,Alabama,2,301
2020-05-17,Alabama,3,97
2020-05-18,Alabama,1,315
2020-05-19,Alabama,15,290
2020-05-20,Alabama,18,676
2020-05-21,Alabama,7,362
2020-05-22,Alabama,12,256
2020-05-23,Alabama,8,479
2020-05-24,Alabama,2,329
2020-05-25,Alabama,15,508
2020-05-26,Alabama,14,664
2020-05-27,Alabama,3,382
2020-05-28,Alabama,8,498
2020-05-29,Alabama,19,501
2020-05-30,Alabama,8,328
2020-05-31,Alabama,12,593
2020-06-01,Alabama,16,582
2020-06-02,Alabama,7,237
2020-06-03,Alabama,0,80
2020-06-04,Alabama,0,221
2020-06-05,Alabama,23,315
2020-06-06,Alabama,13,656
2020-06-07,Alabama,3,457
2020-06-08,Alabama,26,425
2020-06-09,Alabama,11,497
2020-06-10,Alabama,15,567
2020-06-11,Alabama,11,856
2020-06-12,Alabama,14,865
2020-06-13,Alabama,4,891
2020-06-14,Alabama,0,1014
2020-06-15,Alabama,1,657
2020-06-16,Alabama,11,640
2020-06-17,Alabama,5,400
2020-06-18,Alabama,20,894
2020-06-19,Alabama,12,796
2020-06-20,Alabama,16,547
2020-06-21,Alabama,1,472
2020-06-22,Alabama,2,433
2020-06-23,Alabama,23,643
2020-06-24,Alabama,27,967
2020-06-25,Alabama,5,1142
2020-06-26,Alabama,11,977
2020-06-27,Alabama,12,900
2020-06-28,Alabama,0,358
2020-06-29,Alabama,10,1734
2020-06-30,Alabama,21,870
2020-07-01,Alabama,22,917
2020-07-02,Alabama,13,1149
2020-07-03,Alabama,21,1754
2020-07-04,Alabama,1,997
2020-07-05,Alabama,0,1091
2020-07-06,Alabama,0,925
2020-07-07,Alabama,26,907
2020-07-08,Alabama,25,1177
2020-07-09,Alabama,10,2212
2020-07-10,Alabama,36,1334
2020-07-11,Alabama,10,1439
2020-07-12,Alabama,7,1640
2020-07-13,Alabama,3,1958
2020-07-14,Alabama,40,1710
2020-07-15,Alabama,47,1812
2020-07-16,Alabama,19,2021
2020-07-17,Alabama,35,2003
2020-07-18,Alabama,21,2143
2020-07-19,Alabama,1,1777
2020-07-20,Alabama,4,1880
2020-07-21,Alabama,12,1467
2020-07-22,Alabama,61,1455
2020-07-23,Alabama,33,2399
2020-07-24,Alabama,41,1793
2020-07-25,Alabama,18,2125
2020-07-26,Alabama,17,1164
2020-07-27,Alabama,18,1821
2020-07-28,Alabama,0,1251
2020-07-29,Alabama,47,1416
2020-07-30,Alabama,27,1980
2020-07-31,Alabama,15,1961
2020-08-01,Alabama,23,1626
2020-08-02,Alabama,24,2095
2020-08-03,Alabama,6,1217
2020-08-04,Alabama,33,1041
2020-08-05,Alabama,29,952
2020-08-06,Alabama,19,1938
2020-08-07,Alabama,21,1709
2020-08-08,Alabama,20,1872
2020-08-09,Alabama,13,1161
2020-08-10,Alabama,29,1686
2020-08-11,Alabama,50,831
2020-08-12,Alabama,35,935
2020-08-13,Alabama,8,771
2020-08-14,Alabama,3,752
2020-08-15,Alabama,3,1271
2020-08-16,Alabama,2,853
2020-08-17,Alabama,27,571
2020-08-18,Alabama,11,1357
2020-08-19,Alabama,8,1117
2020-08-20,Alabama,30,971
2020-08-21,Alabama,22,1183
2020-08-22,Alabama,15,900
2020-08-23,Alabama,2,528
2020-08-24,Alabama,11,1650
2020-08-25,Alabama,13,532
2020-08-26,Alabama,8,2012
2020-08-27,Alabama,31,1769
2020-08-28,Alabama,31,1162
2020-08-29,Alabama,45,1704
2020-08-30,Alabama,10,1346
2020-08-31,Alabama,20,823
2020-09-01,Alabama,18,1558
2020-09-02,Alabama,17,623
2020-09-03,Alabama,16,1046
2020-09-04,Alabama,33,1108
2020-09-05,Alabama,9,1410
2020-09-06,Alabama,1,511
2020-09-07,Alabama,0,659
2020-09-08,Alabama,1,633
2020-09-09,Alabama,8,811
2020-09-10,Alabama,16,1148
2020-09-11,Alabama,32,1138
2020-09-12,Alabama,17,943
2020-09-13,Alabama,1,1109
2020-09-14,Alabama,4,704
2020-09-15,Alabama,32,701
2020-09-16,Alabama,5,927
2020-09-17,Alabama,9,670
2020-09-18,Alabama,27,1106
2020-09-19,Alabama,9,1301
2020-09-20,Alabama,0,798
2020-09-21,Alabama,2,818
2020-09-22,Alabama,18,804
2020-09-23,Alabama,31,569
2020-09-24,Alabama,18,1053
2020-09-25,Alabama,-15,2452
2020-09-26,Alabama,10,933
2020-09-27,Alabama,1,730
2020-09-28,Alabama,-1,662
2020-09-29,Alabama,16,571
2020-09-30,Alabama,23,1147
2020-10-01,Alabama,8,1043
2020-10-02,Alabama,2,954
2020-10-03,Alabama,8,1682
2020-10-04,Alabama,0,789
2020-10-05,Alabama,1,544
2020-10-06,Alabama,21,764
2020-10-07,Alabama,21,941
2020-10-08,Alabama,36,557
2020-10-09,Alabama,16,1490
2020-10-10,Alabama,11,1061
2020-10-11,Alabama,0,816
2020-10-12,Alabama,1,734
2020-10-13,Alabama,0,1117
2020-10-14,Alabama,41,784
2020-10-15,Alabama,50,1185
2020-10-16,Alabama,30,1212
2020-10-17,Alabama,2,1288
2020-10-18,Alabama,0,964
2020-10-19,Alabama,1,859
2020-10-20,Alabama,16,1043
2020-10-21,Alabama,23,1146
2020-10-22,Alabama,15,1390
2020-10-23,Alabama,16,3852
2020-10-24,Alabama,7,2360
2020-10-25,Alabama,0,1079
2020-10-26,Alabama,0,967
2020-10-27,Alabama,26,1115
2020-10-28,Alabama,19,1269
2020-10-29,Alabama,3,1443
2020-10-30,Alabama,18,1347
2020-10-31,Alabama,35,1789
2020-11-01,Alabama,6,1700
2020-11-02,Alabama,0,907
2020-11-03,Alabama,14,1037
2020-11-04,Alabama,19,1848
2020-11-05,Alabama,20,1381
2020-11-06,Alabama,23,1556
2020-11-07,Alabama,33,1768
2020-11-08,Alabama,2,1205
2020-11-09,Alabama,0,1170
2020-11-10,Alabama,36,1710
2020-11-11,Alabama,81,2070
2020-11-12,Alabama,12,2000
2020-11-13,Alabama,18,2980
2020-11-14,Alabama,15,2226
2020-11-15,Alabama,2,1979
2020-11-16,Alabama,1,1410
2020-11-17,Alabama,52,1616
2020-11-18,Alabama,46,2638
2020-11-19,Alabama,72,2424
