date,state,new_deaths,new_cases
2020-03-13,Alabama,0,6
2020-03-14,Alabama,0,6
2020-03-15,Alabama,0,11
2020-03-16,Alabama,0,6
2020-03-17,Alabama,0,10
2020-03-18,Alabama,0,12
2020-03-19,Alabama,0,27
2020-03-20,Alabama,0,28
2020-03-21,Alabama,0,25
2020-03-22,Alabama,0,26
2020-03-23,Alabama,0,39
2020-03-24,Alabama,0,46
2020-03-25,Alabama,1,144
2020-03-26,Alabama,2,152
2020-03-27,Alabama,1,101
2020-03-28,Alabama,0,81
2020-03-29,Alabama,1,110
2020-03-30,Alabama,6,117
2020-03-31,Alabama,2,52
2020-04-01,Alabama,15,107
2020-04-02,Alabama,4,164
2020-04-03,Alabama,6,265
2020-04-04,Alabama,6,97
2020-04-05,Alabama,1,208
2020-04-06,Alabama,8,165
2020-04-07,Alabama,11,192
2020-04-08,Alabama,3,301
2020-04-09,Alabama,11,340
2020-04-10,Alabama,2,170
2020-04-11,Alabama,13,254
2020-04-12,Alabama,0,321
2020-04-13,Alabama,11,222
2020-04-14,Alabama,10,148
2020-04-15,Alabama,9,288
2020-04-16,Alabama,14,163
2020-04-17,Alabama,14,168
2020-04-18,Alabama,-4,151
2020-04-19,Alabama,13,180
2020-04-20,Alabama,4,175
2020-04-21,Alabama,22,249
2020-04-22,Alabama,15,283
2020-04-23,Alabama,-4,222
2020-04-24,Alabama,12,194
2020-04-25,Alabama,4,187
2020-04-26,Alabama,6,208
2020-04-27,Alabama,9,118
2020-04-28,Alabama,14,211
2020-04-29,Alabama,20,175
2020-04-30,Alabama,10,143
2020-05-01,Alabama,17,226
2020-05-02,Alabama,-1,317
2020-05-03,Alabama,2,277
2020-05-04,Alabama,8,224
2020-05-05,Alabama,17,325
2020-05-06,Alabama,28,254
2020-05-07,Alabama,26,355
2020-05-08,Alabama,14,339
2020-05-09,Alabama,7,283
2020-05-10,Alabama,3,221
2020-05-11,Alabama,10,275
2020-05-12,Alabama,32,300
2020-05-13,Alabama,15,236
2020-05-14,Alabama,23,401
2020-05-15,Alabama,10,272
2020-05-16,Alabama,2,301
2020-05-17,Alabama,3,97
2020-05-18,Alabama,1,315
2020-05-19,Alabama,15,290
2020-05-20,Alabama,18,676
2020-05-21,Alabama,7,362
2020-05-22,Alabama,12,256
2020-05-23,Alabama,8,479
2020-05-24,Alabama,2,329
2020-05-25,Alabama,15,508
2020-05-26,Alabama,14,664
2020-05-27,Alabama,3,382
2020-05-28,Alabama,8,498
2020-05-29,Alabama,19,501
2020-05-30,Alabama,8,328
2020-03-12,Alaska,0,1
2020-03-13,Alaska,0,0
2020-03-14,Alaska,0,0
2020-03-15,Alaska,0,0
2020-03-16,Alaska,0,2
2020-03-17,Alaska,0,3
2020-03-18,Alaska,0,3
2020-03-19,Alaska,0,3
2020-03-20,Alaska,0,2
2020-03-21,Alaska,0,7
2020-03-22,Alaska,0,1
2020-03-23,Alaska,0,14
2020-03-24,Alaska,0,6
2020-03-25,Alaska,0,17
2020-03-26,Alaska,0,10
2020-03-27,Alaska,1,16
2020-03-28,Alaska,0,17
2020-03-29,Alaska,0,12
2020-03-30,Alaska,1,5
2020-03-31,Alaska,0,14
2020-04-01,Alaska,0,10
2020-04-02,Alaska,0,3
2020-04-03,Alaska,0,10
2020-04-04,Alaska,1,13
2020-04-05,Alaska,1,14
2020-04-06,Alaska,0,6
2020-04-07,Alaska,0,22
2020-04-08,Alaska,1,13
2020-04-09,Alaska,0,9
2020-04-10,Alaska,0,11
2020-04-11,Alaska,1,11
2020-04-12,Alaska,0,15
2020-04-13,Alaska,0,5
2020-04-14,Alaska,1,8
2020-04-15,Alaska,0,8
2020-04-16,Alaska,0,7
2020-04-17,Alaska,0,9
2020-04-18,Alaska,0,5
2020-04-19,Alaska,0,5
2020-04-20,Alaska,0,2
2020-04-21,Alaska,0,8
2020-04-22,Alaska,0,6
2020-04-23,Alaska,0,2
2020-04-24,Alaska,0,2
2020-04-25,Alaska,0,0
2020-04-26,Alaska,0,2
2020-04-27,Alaska,0,4
2020-04-28,Alaska,0,6
2020-04-29,Alaska,0,4
2020-04-30,Alaska,0,0
2020-05-01,Alaska,0,9
2020-05-02,Alaska,0,1
2020-05-03,Alaska,0,3
2020-05-04,Alaska,0,2
2020-05-05,Alaska,0,1
2020-05-06,Alaska,1,1
2020-05-07,Alaska,0,3
2020-05-08,Alaska,0,3
2020-05-09,Alaska,0,1
2020-05-10,Alaska,0,1
2020-05-11,Alaska,0,2
2020-05-12,Alaska,0,3
2020-05-13,Alaska,0,0
2020-05-14,Alaska,0,4
2020-05-15,Alaska,0,1
2020-05-16,Alaska,0,4
2020-05-17,Alaska,0,4
2020-05-18,Alaska,0,3
2020-05-19,Alaska,0,0
2020-05-20,Alaska,0,3
2020-05-21,Alaska,0,0
2020-05-22,Alaska,0,2
2020-05-23,Alaska,0,5
2020-05-24,Alaska,0,0
2020-05-25,Alaska,0,3
2020-05-26,Alaska,0,4
2020-05-27,Alaska,0,1
2020-05-28,Alaska,0,13
2020-05-29,Alaska,0,6
2020-05-30,Alaska,0,5
2020-01-26,Arizona,0,1
2020-01-27,Arizona,0,0
2020-01-28,Arizona,0,0
2020-01-29,Arizona,0,0
2020-01-30,Arizona,0,0
2020-01-31,Arizona,0,0
2020-02-01,Arizona,0,0
2020-02-02,Arizona,0,0
2020-02-03,Arizona,0,0
2020-02-04,Arizona,0,0
2020-02-05,Arizona,0,0
2020-02-06,Arizona,0,0
2020-02-07,Arizona,0,0
2020-02-08,Arizona,0,0
2020-02-09,Arizona,0,0
2020-02-10,Arizona,0,0
2020-02-11,Arizona,0,0
2020-02-12,Arizona,0,0
2020-02-13,Arizona,0,0
2020-02-14,Arizona,0,0
2020-02-15,Arizona,0,0
2020-02-16,Arizona,0,0
2020-02-17,Arizona,0,0
2020-02-18,Arizona,0,0
2020-02-19,Arizona,0,0
2020-02-20,Arizona,0,0
2020-02-21,Arizona,0,0
2020-02-22,Arizona,0,0
2020-02-23,Arizona,0,0
2020-02-24,Arizona,0,0
2020-02-25,Arizona,0,0
2020-02-26,Arizona,0,0
2020-02-27,Arizona,0,0
2020-02-28,Arizona,0,0
2020-02-29,Arizona,0,0
2020-03-01,Arizona,0,0
2020-03-02,Arizona,0,0
2020-03-03,Arizona,0,1
2020-03-04,Arizona,0,0
2020-03-05,Arizona,0,0
2020-03-06,Arizona,0,1
2020-03-07,Arizona,0,2
2020-03-08,Arizona,0,0
2020-03-09,Arizona,0,1
2020-03-10,Arizona,0,0
2020-03-11,Arizona,0,3
2020-03-12,Arizona,0,0
2020-03-13,Arizona,0,0
2020-03-14,Arizona,0,3
2020-03-15,Arizona,0,1
2020-03-16,Arizona,0,5
2020-03-17,Arizona,0,2
2020-03-18,Arizona,0,8
2020-03-19,Arizona,0,19
2020-03-20,Arizona,1,23
2020-03-21,Arizona,0,34
2020-03-22,Arizona,1,49
2020-03-23,Arizona,0,81
2020-03-24,Arizona,4,92
2020-03-25,Arizona,0,76
2020-03-26,Arizona,2,106
2020-03-27,Arizona,7,157
2020-03-28,Arizona,0,108
2020-03-29,Arizona,3,156
2020-03-30,Arizona,2,240
2020-03-31,Arizona,4,129
2020-04-01,Arizona,5,115
2020-04-02,Arizona,6,187
2020-04-03,Arizona,6,169
2020-04-04,Arizona,12,250
2020-04-05,Arizona,11,250
2020-04-06,Arizona,3,196
2020-04-07,Arizona,10,110
2020-04-08,Arizona,3,151
2020-04-09,Arizona,9,292
2020-04-10,Arizona,8,94
2020-04-11,Arizona,15,281
2020-04-12,Arizona,5,146
2020-04-13,Arizona,5,163
2020-04-14,Arizona,9,104
2020-04-15,Arizona,11,156
2020-04-16,Arizona,10,272
2020-04-17,Arizona,22,273
2020-04-18,Arizona,7,212
2020-04-19,Arizona,7,210
2020-04-20,Arizona,3,135
2020-04-21,Arizona,22,187
2020-04-22,Arizona,23,208
2020-04-23,Arizona,21,310
2020-04-24,Arizona,11,276
2020-04-25,Arizona,7,235
2020-04-26,Arizona,2,246
2020-04-27,Arizona,0,190
2020-04-28,Arizona,20,232
2020-04-29,Arizona,11,254
2020-04-30,Arizona,12,446
2020-05-01,Arizona,10,314
2020-05-02,Arizona,23,402
2020-05-03,Arizona,9,276
